#Tax Id	C1	C2	C3	C4	C5	C6	T1	T2	T3	T4	T5	T6
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum_gordoncarteri	0.474346	0.334915	0.256783	0.240170	0.290678	0.242393	0.374196	0.353207	0.028870	0.324558	0.668767	0.285971
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0.113649	0.334689	0.058749	0.109208	0.700755	0.195594	0.129945	0.033424	0.032114	0.318960	0.174774	0.151413
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	0.202608	0.206887	0.061378	0.065726	0.065154	0.166285	0.296653	0.312078	0.255631	0.122417	0.202873	0.127909
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp	0.201981	0.211088	0.488503	0.065649	0.322896	0.140531	0.157762	0.941157	1.811798	0.222212	0.187328	0.165710
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	0.109625	0.142265	0.055496	0.074433	0.419874	0.158924	0.141960	0.038433	0.052450	0.182036	0.107787	0.135069
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp	0.124177	0.140737	0.053090	0.069085	0.230365	0.132709	0.156522	0.032027	0.027858	0.282361	0.096018	0.201721
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces_sp	0.157253	0.138324	0.087154	0.062471	0.129566	0.073917	0.127072	0.091169	0.025735	0.281897	0.094743	0.193630
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_fibrisolvens	0.174601	0.203675	0.144677	0.059913	0.167505	0.343967	0.123741	0.044519	0.053865	0.608244	0.085229	0.227944
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	0.777826	0.069223	0.077708	0.207746	0.971097	0.042494	0.082244	0.149127	0.061235	0.509376	0.402510	0.936024
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella_dubosii	0.310875	0.284912	0.240186	0.143415	0.243892	0.152716	0.296392	0.286370	0.023743	0.247616	0.500956	0.242776
